"","title","author","school","sentence_spacy","sentence_str","original_publication_date","corpus_edition_date","sentence_length","sentence_lowered","tokenized_txt","lemmatized_str","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1118","Science Of Logic","Hegel","german_idealism","How this is to be understood transpires from the foregoing.","How this is to be understood transpires from the foregoing.",1817,2010,59,"how this is to be understood transpires from the foregoing.","['how', 'this', 'is', 'to', 'be', 'understood', 'transpires', 'from', 'the', 'foregoing']","how this be to be understand transpire from the foregoing .",0,0,0,0,0,0,0,0,0,1
"1119","On The Principles Of Political Economy And Taxation","Ricardo","capitalism","The duration of this distress will be longer or shorter according to the strength of that disinclination, which most men feel to abandon that employment of their capital to which they have long been accustomed.","The duration of this distress will be longer or shorter according to the strength of that disinclination, which most men feel to abandon that employment of their capital to which they have long been accustomed.",1817,2010,210,"the duration of this distress will be longer or shorter according to the strength of that disinclination, which most men feel to abandon that employment of their capital to which they have long been accustomed.","['the', 'duration', 'of', 'this', 'distress', 'will', 'be', 'longer', 'or', 'shorter', 'according', 'to', 'the', 'strength', 'of', 'that', 'disinclination', 'which', 'most', 'men', 'feel', 'to', 'abandon', 'that', 'employment', 'of', 'their', 'capital', 'to', 'which', 'they', 'have', 'long', 'been', 'accustomed']","the duration of this distress will be long or short accord to the strength of that disinclination , which most man feel to abandon that employment of -PRON- capital to which -PRON- have long be accustomed .",1,1,1,2,0,2,1,1,2,1
"1120","The Order Of Things","Foucault","continental","dormant within what is not thought, must be brought to life again and stretched out in the sovereignty of the","dormant within what is not thought, must be brought to life again and stretched out in the sovereignty of the",1966,2002,109,"dormant within what is not thought, must be brought to life again and stretched out in the sovereignty of the","['dormant', 'within', 'what', 'is', 'not', 'thought', 'must', 'be', 'brought', 'to', 'life', 'again', 'and', 'stretched', 'out', 'in', 'the', 'sovereignty', 'of', 'the']","dormant within what be not think , must be bring to life again and stretch out in the sovereignty of the",0,1,0,0,0,0,0,0,0,0
"1121","Aristotle - Complete Works","Aristotle","aristotle","Now the now that is the extremity of both times must be one and the same; for if each extremity were different, the one could not be in succession to the other, because nothing continuous can be composed of things having no parts; and if the one is apart from the other, there will be time between them, because everything continuous is such that there is something between its limits described by the same name as itself.","Now the now that is the extremity of both times must be one and the same; for if each extremity were different, the one could not be in succession to the other, because nothing continuous can be composed of things having no parts; and if the one is apart from the other, there will be time between them, because everything continuous is such that there is something between its limits described by the same name as itself.",-320,1991,422,"now the now that is the extremity of both times must be one and the same; for if each extremity were different, the one could not be in succession to the other, because nothing continuous can be composed of things having no parts; and if the one is apart from the other, there will be time between them, because everything continuous is such that there is something between its limits described by the same name as itself.","['now', 'the', 'now', 'that', 'is', 'the', 'extremity', 'of', 'both', 'times', 'must', 'be', 'one', 'and', 'the', 'same', 'for', 'if', 'each', 'extremity', 'were', 'different', 'the', 'one', 'could', 'not', 'be', 'in', 'succession', 'to', 'the', 'other', 'because', 'nothing', 'continuous', 'can', 'be', 'composed', 'of', 'things', 'having', 'no', 'parts', 'and', 'if', 'the', 'one', 'is', 'apart', 'from', 'the', 'other', 'there', 'will', 'be', 'time', 'between', 'them', 'because', 'everything', 'continuous', 'is', 'such', 'that', 'there', 'is', 'something', 'between', 'its', 'limits', 'described', 'by', 'the', 'same', 'name', 'as', 'itself']","now the now that be the extremity of both time must be one and the same ; for if each extremity be different , the one could not be in succession to the other , because nothing continuous can be compose of thing have no part ; and if the one be apart from the other , there will be time between -PRON- , because everything continuous be such that there be something between -PRON- limit describe by the same name as -PRON- .",0,1,0,0,0,0,0,0,1,1
"1122","On Certainty","Wittgenstein","analytic","Do we reallv introduce it into our reasoning?","Do we reallv introduce it into our reasoning?",1950,1969,45,"do we reallv introduce it into our reasoning?","['do', 'we', 'reallv', 'introduce', 'it', 'into', 'our', 'reasoning']","do -PRON- reallv introduce -PRON- into -PRON- reasoning ?",0,0,0,0,0,0,0,0,0,0
"1123","Aristotle - Complete Works","Aristotle","aristotle","For there is in the soul by nature something of this sort whereby we are impelled, not under the guidance of reason, towards things for which we are well fitted.","For there is in the soul by nature something of this sort whereby we are impelled, not under the guidance of reason, towards things for which we are well fitted.",-320,1991,161,"for there is in the soul by nature something of this sort whereby we are impelled, not under the guidance of reason, towards things for which we are well fitted.","['for', 'there', 'is', 'in', 'the', 'soul', 'by', 'nature', 'something', 'of', 'this', 'sort', 'whereby', 'we', 'are', 'impelled', 'not', 'under', 'the', 'guidance', 'of', 'reason', 'towards', 'things', 'for', 'which', 'we', 'are', 'well', 'fitted']","for there be in the soul by nature something of this sort whereby -PRON- be impel , not under the guidance of reason , towards thing for which -PRON- be well fit .",0,0,0,0,0,0,0,1,0,2
"1124","Capital","Marx","communism","Apart from natural conditions, such as fertility of the soil, andC., and from the skill of independent and isolated producers (shown rather qualitatively in the goodness than quantitatively in the mass of their products), the degree of productivity of labour, in a given society, is expressed in the relative extent of the means of production that one labourer, during a given time, with the same tension of labour power, turns into products.","Apart from natural conditions, such as fertility of the soil, andC., and from the skill of independent and isolated producers (shown rather qualitatively in the goodness than quantitatively in the mass of their products), the degree of productivity of labour, in a given society, is expressed in the relative extent of the means of production that one labourer, during a given time, with the same tension of labour power, turns into products.",1883,1887,442,"apart from natural conditions, such as fertility of the soil, andc., and from the skill of independent and isolated producers (shown rather qualitatively in the goodness than quantitatively in the mass of their products), the degree of productivity of labour, in a given society, is expressed in the relative extent of the means of production that one labourer, during a given time, with the same tension of labour power, turns into products.","['apart', 'from', 'natural', 'conditions', 'such', 'as', 'fertility', 'of', 'the', 'soil', 'andc', 'and', 'from', 'the', 'skill', 'of', 'independent', 'and', 'isolated', 'producers', 'shown', 'rather', 'qualitatively', 'in', 'the', 'goodness', 'than', 'quantitatively', 'in', 'the', 'mass', 'of', 'their', 'products', 'the', 'degree', 'of', 'productivity', 'of', 'labour', 'in', 'given', 'society', 'is', 'expressed', 'in', 'the', 'relative', 'extent', 'of', 'the', 'means', 'of', 'production', 'that', 'one', 'labourer', 'during', 'given', 'time', 'with', 'the', 'same', 'tension', 'of', 'labour', 'power', 'turns', 'into', 'products']","apart from natural condition , such as fertility of the soil , andC. , and from the skill of independent and isolated producer ( show rather qualitatively in the goodness than quantitatively in the mass of -PRON- product ) , the degree of productivity of labour , in a give society , be express in the relative extent of the mean of production that one labourer , during a give time , with the same tension of labour power , turn into product .",1,3,1,1,1,1,1,2,2,4
"1125","Writing And Difference","Derrida","continental","For example, if one takes into account this commentary on nonmeaning, then that which indicates itself as nonvalue, within the closure of metaphysics, refers beyond the opposition of value and nonvalue, even beyond the concept of value, as it does beyond the concept of meaning.","For example, if one takes into account this commentary on nonmeaning, then that which indicates itself as nonvalue, within the closure of metaphysics, refers beyond the opposition of value and nonvalue, even beyond the concept of value, as it does beyond the concept of meaning.",1967,2001,278,"for example, if one takes into account this commentary on nonmeaning, then that which indicates itself as nonvalue, within the closure of metaphysics, refers beyond the opposition of value and nonvalue, even beyond the concept of value, as it does beyond the concept of meaning.","['for', 'example', 'if', 'one', 'takes', 'into', 'account', 'this', 'commentary', 'on', 'nonmeaning', 'then', 'that', 'which', 'indicates', 'itself', 'as', 'nonvalue', 'within', 'the', 'closure', 'of', 'metaphysics', 'refers', 'beyond', 'the', 'opposition', 'of', 'value', 'and', 'nonvalue', 'even', 'beyond', 'the', 'concept', 'of', 'value', 'as', 'it', 'does', 'beyond', 'the', 'concept', 'of', 'meaning']","for example , if one take into account this commentary on nonmeaning , then that which indicate -PRON- as nonvalue , within the closure of metaphysic , refer beyond the opposition of value and nonvalue , even beyond the concept of value , as -PRON- do beyond the concept of meaning .",1,1,0,0,1,1,0,1,1,1
"1126","Science Of Logic","Hegel","german_idealism","As parallel and bounded by the other pair of rectilinear sides of the trapezium, they can be represented as the terms of a uniformly differentiated but in principle indeterminate arithmetical progression whose first and last terms are the two limiting parallels.","As parallel and bounded by the other pair of rectilinear sides of the trapezium, they can be represented as the terms of a uniformly differentiated but in principle indeterminate arithmetical progression whose first and last terms are the two limiting parallels.",1817,2010,262,"as parallel and bounded by the other pair of rectilinear sides of the trapezium, they can be represented as the terms of a uniformly differentiated but in principle indeterminate arithmetical progression whose first and last terms are the two limiting parallels.","['as', 'parallel', 'and', 'bounded', 'by', 'the', 'other', 'pair', 'of', 'rectilinear', 'sides', 'of', 'the', 'trapezium', 'they', 'can', 'be', 'represented', 'as', 'the', 'terms', 'of', 'uniformly', 'differentiated', 'but', 'in', 'principle', 'indeterminate', 'arithmetical', 'progression', 'whose', 'first', 'and', 'last', 'terms', 'are', 'the', 'two', 'limiting', 'parallels']","as parallel and bound by the other pair of rectilinear side of the trapezium , -PRON- can be represent as the term of a uniformly differentiated but in principle indeterminate arithmetical progression whose first and last term be the two limit parallel .",0,1,0,0,1,1,0,1,1,3
"1127","The Second Sex","Beauvoir","feminism","But why did he forbid it?","But why did he forbid it?",1949,2009,25,"but why did he forbid it?","['but', 'why', 'did', 'he', 'forbid', 'it']","but why do -PRON- forbid -PRON- ?",0,0,0,0,0,1,0,0,1,0
"1128","A Treatise Of Human Nature","Hume","empiricism","I immediately perceive, that they are contiguous in time and place, and that the object we call cause precedes the other we call effect.","I immediately perceive, that they are contiguous in time and place, and that the object we call cause precedes the other we call effect.",1739,2003,136,"i immediately perceive, that they are contiguous in time and place, and that the object we call cause precedes the other we call effect.","['immediately', 'perceive', 'that', 'they', 'are', 'contiguous', 'in', 'time', 'and', 'place', 'and', 'that', 'the', 'object', 'we', 'call', 'cause', 'precedes', 'the', 'other', 'we', 'call', 'effect']","-PRON- immediately perceive , that -PRON- be contiguous in time and place , and that the object -PRON- call cause precede the other -PRON- call effect .",0,2,0,0,0,0,0,1,1,2
"1129","History Of Madness","Foucault","continental","It is from the heart of the opulence and luxury of city life that groans of misery and cries of rage and fury are heard.","It is from the heart of the opulence and luxury of city life that groans of misery and cries of rage and fury are heard.",1961,2006,120,"it is from the heart of the opulence and luxury of city life that groans of misery and cries of rage and fury are heard.","['it', 'is', 'from', 'the', 'heart', 'of', 'the', 'opulence', 'and', 'luxury', 'of', 'city', 'life', 'that', 'groans', 'of', 'misery', 'and', 'cries', 'of', 'rage', 'and', 'fury', 'are', 'heard']","-PRON- be from the heart of the opulence and luxury of city life that groan of misery and cry of rage and fury be hear .",3,0,1,2,1,2,0,0,3,1
"1130","Critique Of Pure Reason","Kant","german_idealism","The discipline ofpure reason","The discipline ofpure reason",1781,1998,28,"the discipline ofpure reason","['the', 'discipline', 'ofpure', 'reason']","the discipline ofpure reason",0,0,0,1,0,0,0,0,1,1
"1131","Aristotle - Complete Works","Aristotle","aristotle","The first of those who studied philosophy were misled in their search for truth and the nature of things by their inexperience, which as it were thrust them into another path.","The first of those who studied philosophy were misled in their search for truth and the nature of things by their inexperience, which as it were thrust them into another path.",-320,1991,175,"the first of those who studied philosophy were misled in their search for truth and the nature of things by their inexperience, which as it were thrust them into another path.","['the', 'first', 'of', 'those', 'who', 'studied', 'philosophy', 'were', 'misled', 'in', 'their', 'search', 'for', 'truth', 'and', 'the', 'nature', 'of', 'things', 'by', 'their', 'inexperience', 'which', 'as', 'it', 'were', 'thrust', 'them', 'into', 'another', 'path']","the first of those who study philosophy be mislead in -PRON- search for truth and the nature of thing by -PRON- inexperience , which as -PRON- be thrust -PRON- into another path .",0,0,0,0,0,0,0,1,1,1
"1132","Capital","Marx","communism",", serfdom had practically disappeared in the last part of the th century.",", serfdom had practically disappeared in the last part of the th century.",1883,1887,73,", serfdom had practically disappeared in the last part of the th century.","['serfdom', 'had', 'practically', 'disappeared', 'in', 'the', 'last', 'part', 'of', 'the', 'th', 'century']",", serfdom have practically disappear in the last part of the th century .",0,0,0,0,0,0,0,0,0,0
"1133","Critique Of Judgement","Kant","german_idealism","On the other hand, if a judgement contained nothing but the relation between the representation and the feeling (without the mediation of any cognitive principle), as is the case with an aesthetic judgement of the senses (which is neither a cognitive judgement nor a judgement of reﬂection), then all aesthetic judgements would belong in the merely empiricaldomain.","On the other hand, if a judgement contained nothing but the relation between the representation and the feeling (without the mediation of any cognitive principle), as is the case with an aesthetic judgement of the senses (which is neither a cognitive judgement nor a judgement of reﬂection), then all aesthetic judgements would belong in the merely empiricaldomain.",1790,2007,365,"on the other hand, if a judgement contained nothing but the relation between the representation and the feeling (without the mediation of any cognitive principle), as is the case with an aesthetic judgement of the senses (which is neither a cognitive judgement nor a judgement of reﬂection), then all aesthetic judgements would belong in the merely empiricaldomain.","['on', 'the', 'other', 'hand', 'if', 'judgement', 'contained', 'nothing', 'but', 'the', 'relation', 'between', 'the', 'representation', 'and', 'the', 'feeling', 'without', 'the', 'mediation', 'of', 'any', 'cognitive', 'principle', 'as', 'is', 'the', 'case', 'with', 'an', 'aesthetic', 'judgement', 'of', 'the', 'senses', 'which', 'is', 'neither', 'cognitive', 'judgement', 'nor', 'judgement', 'of', 'reﬂection', 'then', 'all', 'aesthetic', 'judgements', 'would', 'belong', 'in', 'the', 'merely', 'empiricaldomain']","on the other hand , if a judgement contain nothing but the relation between the representation and the feeling ( without the mediation of any cognitive principle ) , as be the case with an aesthetic judgement of the sense ( which be neither a cognitive judgement nor a judgement of reﬂection ) , then all aesthetic judgement would belong in the merely empiricaldomain .",1,1,1,2,1,2,1,1,2,4
"1134","Off The Beaten Track","Heidegger","phenomenology","In them, there speaks the will of the absolute, which in and for itself wills to be already with us.","In them, there speaks the will of the absolute, which in and for itself wills to be already with us.",1950,2001,100,"in them, there speaks the will of the absolute, which in and for itself wills to be already with us.","['in', 'them', 'there', 'speaks', 'the', 'will', 'of', 'the', 'absolute', 'which', 'in', 'and', 'for', 'itself', 'wills', 'to', 'be', 'already', 'with', 'us']","in -PRON- , there speak the will of the absolute , which in and for -PRON- will to be already with -PRON- .",0,0,0,0,0,0,0,0,0,1
"1135","Aristotle - Complete Works","Aristotle","aristotle","For a doctor does not deliberate whether he shall heal, nor an orator whether he shall convince, nor a statesman whether he shall produce law and order, nor does any one else deliberate about his end.","For a doctor does not deliberate whether he shall heal, nor an orator whether he shall convince, nor a statesman whether he shall produce law and order, nor does any one else deliberate about his end.",-320,1991,200,"for a doctor does not deliberate whether he shall heal, nor an orator whether he shall convince, nor a statesman whether he shall produce law and order, nor does any one else deliberate about his end.","['for', 'doctor', 'does', 'not', 'deliberate', 'whether', 'he', 'shall', 'heal', 'nor', 'an', 'orator', 'whether', 'he', 'shall', 'convince', 'nor', 'statesman', 'whether', 'he', 'shall', 'produce', 'law', 'and', 'order', 'nor', 'does', 'any', 'one', 'else', 'deliberate', 'about', 'his', 'end']","for a doctor do not deliberate whether -PRON- shall heal , nor an orator whether -PRON- shall convince , nor a statesman whether -PRON- shall produce law and order , nor do any one else deliberate about -PRON- end .",0,1,0,0,1,0,0,4,0,4
"1136","Capital","Marx","communism","The value of a commodity is, in itself, of no interest to the capitalist.","The value of a commodity is, in itself, of no interest to the capitalist.",1883,1887,73,"the value of a commodity is, in itself, of no interest to the capitalist.","['the', 'value', 'of', 'commodity', 'is', 'in', 'itself', 'of', 'no', 'interest', 'to', 'the', 'capitalist']","the value of a commodity be , in -PRON- , of no interest to the capitalist .",0,0,0,0,0,0,0,0,0,2
"1137","Essential Works Of Lenin","Lenin","communism","Many of us as yet do not appreciate the bounden duty that rests upon us, but spontaneously follow in the wake of the 'drab every day struggle,' in the narrow confines of factory life.","Many of us as yet do not appreciate the bounden duty that rests upon us, but spontaneously follow in the wake of the 'drab every day struggle,' in the narrow confines of factory life.",1862,1966,183,"many of us as yet do not appreciate the bounden duty that rests upon us, but spontaneously follow in the wake of the 'drab every day struggle,' in the narrow confines of factory life.","['many', 'of', 'us', 'as', 'yet', 'do', 'not', 'appreciate', 'the', 'bounden', 'duty', 'that', 'rests', 'upon', 'us', 'but', 'spontaneously', 'follow', 'in', 'the', 'wake', 'of', 'the', 'drab', 'every', 'day', 'struggle', 'in', 'the', 'narrow', 'confines', 'of', 'factory', 'life']","many of -PRON- as yet do not appreciate the bounden duty that rest upon -PRON- , but spontaneously follow in the wake of the ' drab every day struggle , ' in the narrow confine of factory life .",1,0,0,1,0,1,0,0,1,0
"1138","Quintessence","Quine","analytic","Another insert was page on postulates, which was prompted by a paper by Richard Martin in defense of Carnap on analyticity.","Another insert was page on postulates, which was prompted by a paper by Richard Martin in defense of Carnap on analyticity.",1950,2004,123,"another insert was page on postulates, which was prompted by a paper by richard martin in defense of carnap on analyticity.","['another', 'insert', 'was', 'page', 'on', 'postulates', 'which', 'was', 'prompted', 'by', 'paper', 'by', 'richard', 'martin', 'in', 'defense', 'of', 'carnap', 'on', 'analyticity']","another insert be page on postulate , which be prompt by a paper by Richard Martin in defense of Carnap on analyticity .",1,1,0,1,0,0,0,0,0,1
"1139","Aristotle - Complete Works","Aristotle","aristotle","Is it because, though things which are divided always possess number, in size they are smaller than that which is single and undivided?","Is it because, though things which are divided always possess number, in size they are smaller than that which is single and undivided?",-320,1991,135,"is it because, though things which are divided always possess number, in size they are smaller than that which is single and undivided?","['is', 'it', 'because', 'though', 'things', 'which', 'are', 'divided', 'always', 'possess', 'number', 'in', 'size', 'they', 'are', 'smaller', 'than', 'that', 'which', 'is', 'single', 'and', 'undivided']","be -PRON- because , though thing which be divide always possess number , in size -PRON- be small than that which be single and undivided ?",0,1,0,0,1,0,0,1,0,2
"1140","Plato - Complete Works","Plato","plato","Within expertise as a whole one half was acquisitive; half of the acquisitive was taking possession; half of possession taking was hunting; half of hunting was animal hunting; half of animal hunting was aquatic hunting; all of the lower portion of aquatic hunting was fishing; half of fishing was hunting by striking; and half of striking was hooking.","Within expertise as a whole one half was acquisitive; half of the acquisitive was taking possession; half of possession taking was hunting; half of hunting was animal hunting; half of animal hunting was aquatic hunting; all of the lower portion of aquatic hunting was fishing; half of fishing was hunting by striking; and half of striking was hooking.",-350,1997,351,"within expertise as a whole one half was acquisitive; half of the acquisitive was taking possession; half of possession taking was hunting; half of hunting was animal hunting; half of animal hunting was aquatic hunting; all of the lower portion of aquatic hunting was fishing; half of fishing was hunting by striking; and half of striking was hooking.","['within', 'expertise', 'as', 'whole', 'one', 'half', 'was', 'acquisitive', 'half', 'of', 'the', 'acquisitive', 'was', 'taking', 'possession', 'half', 'of', 'possession', 'taking', 'was', 'hunting', 'half', 'of', 'hunting', 'was', 'animal', 'hunting', 'half', 'of', 'animal', 'hunting', 'was', 'aquatic', 'hunting', 'all', 'of', 'the', 'lower', 'portion', 'of', 'aquatic', 'hunting', 'was', 'fishing', 'half', 'of', 'fishing', 'was', 'hunting', 'by', 'striking', 'and', 'half', 'of', 'striking', 'was', 'hooking']","within expertise as a whole one half be acquisitive ; half of the acquisitive be take possession ; half of possession take be hunt ; half of hunting be animal hunting ; half of animal hunting be aquatic hunting ; all of the low portion of aquatic hunting be fishing ; half of fishing be hunt by strike ; and half of strike be hook .",2,1,1,2,0,1,0,1,3,2
"1141","History Of Madness","Foucault","continental","A crisis in the world of ethics therefore came into being, and to the great struggle between Good and Evil was juxtaposed the irreconcilable conflict between reason and unreason, multiplying images of the split.","A crisis in the world of ethics therefore came into being, and to the great struggle between Good and Evil was juxtaposed the irreconcilable conflict between reason and unreason, multiplying images of the split.",1961,2006,211,"a crisis in the world of ethics therefore came into being, and to the great struggle between good and evil was juxtaposed the irreconcilable conflict between reason and unreason, multiplying images of the split.","['crisis', 'in', 'the', 'world', 'of', 'ethics', 'therefore', 'came', 'into', 'being', 'and', 'to', 'the', 'great', 'struggle', 'between', 'good', 'and', 'evil', 'was', 'juxtaposed', 'the', 'irreconcilable', 'conflict', 'between', 'reason', 'and', 'unreason', 'multiplying', 'images', 'of', 'the', 'split']","a crisis in the world of ethic therefore come into being , and to the great struggle between Good and Evil be juxtapose the irreconcilable conflict between reason and unreason , multiply image of the split .",4,1,1,4,1,4,1,1,6,3
"1142","The Logic Of Scientific Discovery","Popper","analytic","The list makes no claim to completeness: it must be left to the investigator, especially in the fields of sociology and psychology (the physicist may hardly need the warning) to guard constantly against the temptation to employ new conventionalist stratagems a temptation to which psycho analysts, for example, often succumb.","The list makes no claim to completeness: it must be left to the investigator, especially in the fields of sociology and psychology (the physicist may hardly need the warning) to guard constantly against the temptation to employ new conventionalist stratagems a temptation to which psycho analysts, for example, often succumb.",1959,2002,325,"the list makes no claim to completeness: it must be left to the investigator, especially in the fields of sociology and psychology (the physicist may hardly need the warning) to guard constantly against the temptation to employ new conventionalist stratagems a temptation to which psycho analysts, for example, often succumb.","['the', 'list', 'makes', 'no', 'claim', 'to', 'completeness', 'it', 'must', 'be', 'left', 'to', 'the', 'investigator', 'especially', 'in', 'the', 'fields', 'of', 'sociology', 'and', 'psychology', 'the', 'physicist', 'may', 'hardly', 'need', 'the', 'warning', 'to', 'guard', 'constantly', 'against', 'the', 'temptation', 'to', 'employ', 'new', 'conventionalist', 'stratagems', 'temptation', 'to', 'which', 'psycho', 'analysts', 'for', 'example', 'often', 'succumb']","the list make no claim to completeness : -PRON- must be leave to the investigator , especially in the field of sociology and psychology ( the physicist may hardly need the warning ) to guard constantly against the temptation to employ new conventionalist stratagem a temptation to which psycho analyst , for example , often succumb .",0,0,0,2,0,0,0,4,2,2
"1143","A Treatise Concerning The Principles Of Human Knowledge","Berkeley","empiricism","It is evident to any one who takes a survey of the objects of human knowledge, that they are either actually imprinted on the senses; or else such as are perceived by attending to the passions and operations of the mind; or lastly, ideas formed by help of memory and imagination either compounding, dividing, or barely representing those originally perceived in the aforesaid ways.","It is evident to any one who takes a survey of the objects of human knowledge, that they are either actually imprinted on the senses; or else such as are perceived by attending to the passions and operations of the mind; or lastly, ideas formed by help of memory and imagination either compounding, dividing, or barely representing those originally perceived in the aforesaid ways.",1710,2009,381,"it is evident to any one who takes a survey of the objects of human knowledge, that they are either actually imprinted on the senses; or else such as are perceived by attending to the passions and operations of the mind; or lastly, ideas formed by help of memory and imagination either compounding, dividing, or barely representing those originally perceived in the aforesaid ways.","['it', 'is', 'evident', 'to', 'any', 'one', 'who', 'takes', 'survey', 'of', 'the', 'objects', 'of', 'human', 'knowledge', 'that', 'they', 'are', 'either', 'actually', 'imprinted', 'on', 'the', 'senses', 'or', 'else', 'such', 'as', 'are', 'perceived', 'by', 'attending', 'to', 'the', 'passions', 'and', 'operations', 'of', 'the', 'mind', 'or', 'lastly', 'ideas', 'formed', 'by', 'help', 'of', 'memory', 'and', 'imagination', 'either', 'compounding', 'dividing', 'or', 'barely', 'representing', 'those', 'originally', 'perceived', 'in', 'the', 'aforesaid', 'ways']","-PRON- be evident to any one who take a survey of the object of human knowledge , that -PRON- be either actually imprint on the sense ; or else such as be perceive by attend to the passion and operation of the mind ; or lastly , idea form by help of memory and imagination either compounding , divide , or barely represent those originally perceive in the aforesaid way .",0,1,0,0,0,0,0,1,0,2
"1144","The System Of Ethics","Fichte","german_idealism","Hence I am for myself.e., before my own consciousness only an instrument, a mere tool of the moral law, and by no means the end of the same.","Hence I am for myself.e., before my own consciousness only an instrument, a mere tool of the moral law, and by no means the end of the same.",1798,2005,140,"hence i am for myself.e., before my own consciousness only an instrument, a mere tool of the moral law, and by no means the end of the same.","['hence', 'am', 'for', 'myself', 'before', 'my', 'own', 'consciousness', 'only', 'an', 'instrument', 'mere', 'tool', 'of', 'the', 'moral', 'law', 'and', 'by', 'no', 'means', 'the', 'end', 'of', 'the', 'same']","hence -PRON- be for myself.e . , before -PRON- own consciousness only an instrument , a mere tool of the moral law , and by no means the end of the same .",1,0,0,0,0,0,0,2,0,2
"1145","Thus Spake Zarathustra","Nietzsche","nietzsche","It stingeth me alas to the heart?","It stingeth me alas to the heart?",1887,2008,33,"it stingeth me alas to the heart?","['it', 'stingeth', 'me', 'alas', 'to', 'the', 'heart']","-PRON- stingeth -PRON- alas to the heart ?",0,0,0,0,0,0,0,0,0,0
"1146","The Logic Of Scientific Discovery","Popper","analytic",", we must not conclude that the search for precision laws is vain.",", we must not conclude that the search for precision laws is vain.",1959,2002,66,", we must not conclude that the search for precision laws is vain.","['we', 'must', 'not', 'conclude', 'that', 'the', 'search', 'for', 'precision', 'laws', 'is', 'vain']",", -PRON- must not conclude that the search for precision law be vain .",0,0,0,0,0,0,0,0,0,1
"1147","The Second Sex","Beauvoir","feminism","once the function of love has been fulfilled)… we have to discard it like the shepherd who removes the rennet once the milk has coagulated.","once the function of love has been fulfilled)… we have to discard it like the shepherd who removes the rennet once the milk has coagulated.",1949,2009,139,"once the function of love has been fulfilled)… we have to discard it like the shepherd who removes the rennet once the milk has coagulated.","['once', 'the', 'function', 'of', 'love', 'has', 'been', 'fulfilled', 'we', 'have', 'to', 'discard', 'it', 'like', 'the', 'shepherd', 'who', 'removes', 'the', 'rennet', 'once', 'the', 'milk', 'has', 'coagulated']","once the function of love have be fulfil ) … -PRON- have to discard -PRON- like the shepherd who remove the rennet once the milk have coagulate .",0,0,0,0,1,0,0,1,0,2
"1148","Plato - Complete Works","Plato","plato","The conviction that they knew made them unafraid, and assurance engendered effrontery.","The conviction that they knew made them unafraid, and assurance engendered effrontery.",-350,1997,86,"the conviction that they knew made them unafraid, and assurance engendered effrontery.","['the', 'conviction', 'that', 'they', 'knew', 'made', 'them', 'unafraid', 'and', 'assurance', 'engendered', 'effrontery']","the conviction that -PRON- know make -PRON- unafraid , and assurance engender effrontery .",0,0,0,0,0,0,0,1,1,1
"1149","Plato - Complete Works","Plato","plato","Well then, let's not divide in the way we did then, looking at everything, or in a hurry, just in order to get quickly to statesmanship.","Well then, let's not divide in the way we did then, looking at everything, or in a hurry, just in order to get quickly to statesmanship.",-350,1997,136,"well then, let's not divide in the way we did then, looking at everything, or in a hurry, just in order to get quickly to statesmanship.","['well', 'then', 'let', 'not', 'divide', 'in', 'the', 'way', 'we', 'did', 'then', 'looking', 'at', 'everything', 'or', 'in', 'hurry', 'just', 'in', 'order', 'to', 'get', 'quickly', 'to', 'statesmanship']","well then , let -PRON- not divide in the way -PRON- do then , look at everything , or in a hurry , just in order to get quickly to statesmanship .",0,1,0,0,0,0,0,0,0,0
"1150","Beyond Good And Evil","Nietzsche","nietzsche","There are free insolent minds which would fain conceal and deny that they are broken, proud, incurable hearts (the cynicism of Hamlet the case of Galiani); and occasionally folly itself is the mask of an unfortunate knowledge.","There are free insolent minds which would fain conceal and deny that they are broken, proud, incurable hearts (the cynicism of Hamlet the case of Galiani); and occasionally folly itself is the mask of an unfortunate knowledge.",1886,2003,226,"there are free insolent minds which would fain conceal and deny that they are broken, proud, incurable hearts (the cynicism of hamlet the case of galiani); and occasionally folly itself is the mask of an unfortunate knowledge.","['there', 'are', 'free', 'insolent', 'minds', 'which', 'would', 'fain', 'conceal', 'and', 'deny', 'that', 'they', 'are', 'broken', 'proud', 'incurable', 'hearts', 'the', 'cynicism', 'of', 'hamlet', 'the', 'case', 'of', 'galiani', 'and', 'occasionally', 'folly', 'itself', 'is', 'the', 'mask', 'of', 'an', 'unfortunate', 'knowledge']","there be free insolent mind which would fain conceal and deny that -PRON- be break , proud , incurable heart ( the cynicism of Hamlet the case of Galiani ) ; and occasionally folly -PRON- be the mask of an unfortunate knowledge .",3,2,1,3,2,5,0,2,8,3
"1151","Aristotle - Complete Works","Aristotle","aristotle","In no other way is reciprocal proof possible.","In no other way is reciprocal proof possible.",-320,1991,45,"in no other way is reciprocal proof possible.","['in', 'no', 'other', 'way', 'is', 'reciprocal', 'proof', 'possible']","in no other way be reciprocal proof possible .",0,0,0,0,0,0,0,1,0,0
